iter	Passed	Remaining
0	2	2574
1	5	2659
2	7	2591
3	10	2508
4	12	2580
5	15	2543
6	18	2583
7	21	2614
8	23	2608
9	26	2632
10	29	2623
11	31	2628
12	34	2628
13	37	2618
14	40	2627
15	42	2640
16	45	2641
17	48	2653
18	51	2675
19	54	2672
20	57	2680
21	60	2679
22	62	2668
23	65	2682
24	68	2674
25	71	2677
26	74	2681
27	77	2679
28	80	2687
29	83	2700
30	86	2702
31	89	2707
32	92	2718
33	95	2721
34	98	2717
35	101	2714
36	104	2716
37	106	2700
38	110	2710
39	112	2706
40	115	2693
41	118	2701
42	121	2696
43	124	2700
44	127	2700
45	130	2700
46	132	2691
47	135	2691
48	138	2691
49	141	2685
50	144	2683
51	146	2675
52	149	2670
53	152	2675
54	155	2668
55	158	2664
56	161	2664
57	164	2665
58	167	2666
59	170	2670
60	173	2663
61	175	2653
62	178	2657
63	181	2653
64	184	2654
65	187	2652
66	190	2653
67	192	2644
68	195	2641
69	198	2640
70	201	2632
71	204	2634
72	207	2630
73	210	2628
74	212	2621
75	215	2615
76	217	2612
77	220	2611
78	224	2612
79	227	2611
80	230	2614
81	233	2608
82	236	2613
83	239	2612
84	242	2610
85	245	2606
86	247	2599
87	250	2595
88	253	2592
89	256	2591
90	258	2587
91	261	2580
92	264	2576
93	266	2572
94	269	2571
95	272	2568
96	275	2567
97	278	2566
98	282	2566
99	284	2562
100	287	2558
101	290	2553
102	292	2550
103	295	2549
104	298	2544
105	301	2544
106	304	2542
107	307	2536
108	309	2534
109	313	2532
110	316	2531
111	318	2525
112	321	2523
113	324	2518
114	326	2513
115	329	2513
116	332	2507
117	335	2505
118	337	2500
119	340	2498
120	343	2496
121	346	2491
122	349	2489
123	351	2485
124	354	2484
125	357	2481
126	360	2477
127	363	2477
128	366	2472
129	369	2471
130	371	2465
131	374	2462
132	377	2458
133	380	2456
134	382	2453
135	385	2447
136	388	2445
137	390	2440
138	393	2437
139	396	2436
140	399	2432
141	402	2429
142	405	2427
143	407	2425
144	410	2422
145	414	2426
146	417	2423
147	420	2422
148	423	2419
149	426	2418
150	429	2416
151	432	2415
152	435	2413
153	439	2412
154	442	2410
155	445	2408
156	447	2404
157	450	2401
158	453	2401
159	456	2398
160	459	2396
161	462	2392
162	465	2388
163	467	2384
164	470	2379
165	473	2379
166	476	2375
167	478	2371
168	481	2365
169	483	2360
170	486	2358
171	488	2351
172	490	2344
173	493	2340
174	495	2335
175	497	2331
176	500	2328
177	503	2324
178	506	2321
179	509	2320
180	512	2320
181	515	2318
182	519	2317
183	521	2314
184	525	2313
185	527	2308
186	530	2305
187	533	2305
188	536	2301
